"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DAK","DAK","","","",0,*,"","","","null {[]} {[]}
","Digital Adaptation Kit (DAK)","Logical Model for representing a complete Digital Adaptation Kit (DAK) with metadata and all 9 DAK components","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DAK.metadata","DAK.metadata","","","",1,1,"","","","BackboneElement {[]} {[]}
","Metadata","Metadata for the DAK","","","","","","","","","",,,,,"",,,,"DAK.metadata",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.metadata.id","DAK.metadata.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.metadata.extension","DAK.metadata.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.metadata.modifierExtension","DAK.metadata.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.metadata.identifier","DAK.metadata.identifier","","","",1,1,"","","","id {[]} {[]}
","DAK ID","Identifier for the DAK","","","","","","","","","",,,,,"",,,,"DAK.metadata.identifier",1,1,"",""
"DAK.metadata.canonical","DAK.metadata.canonical","","","",1,1,"","","","canonical {[]} {[]}
","Canonical URL","Canonical URL for the DAK","","","","","","","","","",,,,,"",,,,"DAK.metadata.canonical",1,1,"",""
"DAK.metadata.name","DAK.metadata.name","","","",1,1,"","","","string {[]} {[]}
","Name","Name of the DAK","","","","","","","","","",,,,,"",,,,"DAK.metadata.name",1,1,"",""
"DAK.healthInterventions","DAK.healthInterventions","","","",0,*,"","","","id {[]} {[]}
","Health Interventions and Recommendations","Overview of the health interventions and WHO, regional or national recommendations included within the DAK","","","","","","","","","",,,,,"",,,,"DAK.healthInterventions",0,*,"",""
"DAK.personas","DAK.personas","","","",0,*,"","","","id {[]} {[]}
","Generic Personas","Depiction of the human and system actors","","","","","","","","","",,,,,"",,,,"DAK.personas",0,*,"",""
"DAK.userScenarios","DAK.userScenarios","","","",0,*,"","","","id {[]} {[]}
","User Scenarios","Narratives that describe how the different personas may interact with each other","","","","","","","","","",,,,,"",,,,"DAK.userScenarios",0,*,"",""
